GID,DATE,VENDOR,STAGE,FEEDBACK_AREA,SOURCE,FEEDBACK_TYPE,CRITICALITY,ACTION_TAKEN_BY_VENDOR,instance,ID
SCI,2024-01-01,Delta Inc.,Printing,Body Text,External,Negative,High,Accepted,2,SCI2401012
BIO,2024-07-10,Alpha Press,Printing,Body,Internal,Negative,Low,Pending,2,BIO2407102
THR,2023-10-06,Thomson Press,Manuscript,Illustrations,External,Negative,Medium,Pending,1,THR2310061
SCI,2023-11-16,Gamma Publishing,Binding,Front Cover,External,Negative,High,Revised,1,SCI2311161
POE,2023-04-05,Thomson Press,Binding,Back Cover,Internal,Negative,Medium,Pending,1,POE2304051
COM,2024-06-07,alpha press,Manuscript,Body Text,External,Negative,Low,Accepted,4,COM2406074
FIC,2024-11-27,Delta Inc.,Proofreading,front cover,External,Negative,Medium,Addressed,1,FIC2411271
COM,2023-08-23,Beta Books,Manuscript,Front Cover,Internal,Negative,High,Revised,1,COM2308231
SCI,2024-04-05,AlBe Publishing,Binding,Illustrations,External,Negative,Medium,Accepted,2,SCI2404052
FIC,2024-07-26,alpha press,Proofreading,Back Cover,Internal,Negative,Low,Rejected,2,FIC2407262
FIC,2023-07-12,Thomson Press,Typesetting,Reference Section,Internal,Negative,Low,Accepted,2,FIC2307122
POE,2024-08-02,Thomson Press,Printing,Reference Section,Internal,Negative,High,Addressed,2,POE2408022
SCI,2023-04-30,alpha press,Typesetting,Back Cover,Internal,Negative,High,Addressed,1,SCI2304301
BIO,2024-09-08,Alpha Press,Proofreading,Illustrations,Internal,Negative,Medium,Pending,3,BIO2409083
HIS,2024-07-27,AlBe Publishing,Printing,Index,External,Negative,High,Revised,1,HIS2407271
FIC,2024-03-22,alpha press,Manuscript,Illustrations,External,Negative,Medium,Accepted,3,FIC2403223
ROM,2023-05-02,alpha press,Manuscript,Front Cover,Internal,Negative,Low,Revised,3,ROM2305023
SCI,2023-01-25,Gamma Publishing,Proofreading,Body Text,External,Negative,Medium,Accepted,1,SCI2301251
HIS,2024-08-20,Beta Books,Printing,Body Text,Internal,Negative,Medium,Revised,2,HIS2408202
HIS,2024-09-29,Thomson Press,Binding,Index,Internal,Negative,High,Rejected,1,HIS2409291
THR,2024-11-27,Epsilon Ltd.,Proofreading,Index,Internal,Negative,Medium,Addressed,2,THR2411272
THR,2024-08-25,Epsilon Ltd.,Printing,Body Text,External,Negative,Medium,Addressed,2,THR2408252
POE,2024-11-16,AlBe Publishing,Proofreading,Body Text,Internal,Negative,Low,Pending,1,POE2411161
HIS,2023-05-20,Delta Inc.,Typesetting,Back Cover,External,Negative,Medium,Addressed,1,HIS2305201
THR,2024-05-31,Epsilon Ltd.,Typesetting,Front Cover,Internal,Negative,Medium,Addressed,2,THR2405312
HIS,2024-02-11,Beta books,Binding,front cover,External,Negative,Low,Pending,2,HIS2402112
COM,2023-06-27,Thomson Press,Binding,Body Text,External,Negative,Low,,3,COM2306273
COM,2023-05-04,Alpha Press,Printing,Reference Section,External,Negative,High,Pending,1,COM2305041
POE,2024-01-10,alpha press,Manuscript,Body Text,Internal,Negative,Medium,Addressed,2,POE2401102
BIO,2023-05-12,Beta books,Binding,Body Text,Internal,Negative,Medium,Revised,3,BIO2305123
POE,2023-05-30,Alpha Press,Typesetting,Reference Section,Internal,Negative,High,Accepted,1,POE2305301
ROM,2023-07-04,Beta Books,Binding,Back Cover,Internal,Negative,Low,Pending,2,ROM2307042
POE,2024-02-01,Epsilon Ltd.,Manuscript,Back Cover,Internal,Negative,Low,Accepted,2,POE2402012
THR,2023-05-04,Epsilon Ltd.,Proofreading,front cover,Internal,Negative,High,Pending,2,THR2305042
HIS,2023-10-05,Epsilon Ltd.,Binding,Body Text,External,Negative,Medium,Rejected,1,HIS2310051
BIO,2024-11-04,Beta Books,Typesetting,Illustrations,External,Negative,High,Accepted,4,BIO2411044
FIC,2024-05-26,Thomson Press,Printing,Back Cover,Internal,Negative,Medium,Pending,3,FIC2405263
SCI,2023-01-26,Gamma Publishing,Binding,Index,External,Negative,Low,Accepted,2,SCI2301262
FIC,2023-08-28,Gamma Publishing,Typesetting,Body,External,Negative,Low,Accepted,2,FIC2308282
SCI,2023-06-05,Gamma Publishing,Proofreading,Front Cover,Internal,Negative,High,Accepted,1,SCI2306051
FIC,2024-07-03,Thomson Press,Binding,Reference Section,External,Negative,High,,3,FIC2407033
COM,2023-08-25,alpha press,Typesetting,Body Text,External,Negative,Low,Addressed,1,COM2308251
THR,2024-08-07,Epsilon Ltd.,Printing,Back Cover,External,Negative,Medium,Addressed,1,THR2408071
SCI,2023-04-09,Beta Books,Manuscript,Reference Section,External,Negative,Medium,Rejected,1,SCI2304091
POE,2024-04-20,Epsilon Ltd.,Binding,Index,External,Negative,Low,Accepted,1,POE2404201
SCI,2023-06-17,alpha press,Printing,Back Cover,External,Negative,Low,Rejected,3,SCI2306173
THR,2023-05-13,Beta books,Binding,Front Cover,Internal,Negative,Medium,Addressed,1,THR2305131
THR,2023-03-12,Beta books,Printing,Illustrations,External,Negative,Low,Pending,1,THR2303121
POE,2024-12-08,Alpha Press,Typesetting,Body Text,Internal,Negative,Low,Revised,1,POE2412081
HIS,2024-06-06,Thomson Press,Manuscript,Front Cover,External,Negative,High,Revised,1,HIS2406061
HIS,2024-02-04,Alpha Press,Typesetting,Back Cover,Internal,Negative,Medium,Pending,2,HIS2402042
HIS,2023-08-18,Epsilon Ltd.,Typesetting,Back Cover,Internal,Negative,Medium,Rejected,1,HIS2308181
HIS,2024-10-31,Alpha Press,Typesetting,Illustrations,External,Negative,High,Accepted,2,HIS2410312
FIC,2023-07-30,Alpha Press,proof reading,Body Text,External,Negative,High,Addressed,3,FIC2307303
FIC,2024-05-04,Gamma Publishing,Proofreading,Back Cover,Internal,Negative,Medium,Accepted,4,FIC2405044
COM,2024-08-27,Gamma Publishing,Manuscript,Index,External,Negative,Low,Pending,1,COM2408271
FIC,2023-07-12,Beta Books,Manuscript,Back Cover,External,Negative,Medium,Revised,3,FIC2307123
BIO,2024-04-05,Delta Inc.,Proofreading,Body Text,External,Negative,Low,Pending,3,BIO2404053
COM,2024-07-14,alpha press,Binding,Reference Section,Internal,Negative,Medium,,2,COM2407142
ROM,2024-06-16,Epsilon Ltd.,Manuscript,Body Text,External,Negative,High,,2,ROM2406162
ROM,2023-11-24,AlBe Publishing,Proofreading,Index,External,Negative,High,Accepted,1,ROM2311241
SCI,2023-11-06,Beta books,Typesetting,Body,Internal,Negative,Low,,1,SCI2311061
COM,2024-03-06,Thomson Press,Printing,Front Cover,Internal,Negative,Medium,Revised,2,COM2403062
HIS,2023-01-03,Beta books,Printing,Body Text,External,Negative,High,Rejected,2,HIS2301032
BIO,2023-07-01,Thomson Press,Printing,Back Cover,Internal,Negative,Medium,Addressed,1,BIO2307011
ROM,2024-10-05,Beta books,Proofreading,Index,External,Negative,Low,Rejected,2,ROM2410052
ROM,2024-12-07,Beta books,Manuscript,Back Cover,Internal,Negative,High,Revised,2,ROM2412072
HIS,2023-06-30,alpha press,Printing,Back Cover,External,Negative,Low,Accepted,1,HIS2306301
HIS,2023-08-09,Alpha Press,Manuscript,Reference Section,Internal,Negative,Low,Pending,2,HIS2308092
SCI,2023-05-10,Alpha Press,Binding,Body Text,External,Negative,Medium,Revised,3,SCI2305103
SCI,2023-08-11,Epsilon Ltd.,Printing,Reference Section,Internal,Negative,Medium,Pending,2,SCI2308112
FIC,2023-10-07,Thomson Press,Proofreading,Back Cover,External,Positive,Medium,Pending,3,FIC2310073
POE,2024-01-29,AlBe Publishing,Typesetting,Body Text,Internal,Negative,High,Rejected,2,POE2401292
HIS,2023-01-18,AlBe Publishing,Printing,Back Cover,External,Negative,High,Rejected,2,HIS2301182
BIO,2023-08-10,Alpha Press,Printing,Back Cover,External,Negative,Medium,,1,BIO2308101
COM,2024-09-30,Alpha Press,Printing,Front Cover,External,Negative,Medium,Pending,3,COM2409303
FIC,2023-04-28,Beta Books,Typesetting,Reference Section,External,Negative,Medium,Revised,2,FIC2304282
HIS,2023-02-15,Beta Books,Binding,Illustrations,External,Negative,Medium,Addressed,1,HIS2302151
ROM,2024-06-04,Epsilon Ltd.,Manuscript,Body,Internal,Negative,High,Revised,3,ROM2406043
COM,2023-02-22,alpha press,Manuscript,Illustrations,External,Negative,High,Revised,1,COM2302221
COM,2023-09-05,Beta Books,Typesetting,Front Cover,External,Negative,High,Accepted,1,COM2309051
THR,2023-03-02,Thomson Press,Printing,Back Cover,Internal,Negative,High,Accepted,4,THR2303024
ROM,2023-02-22,Epsilon Ltd.,Proofreading,Body Text,External,Negative,High,Addressed,2,ROM2302222
COM,2023-10-13,Gamma Publishing,Proofreading,Back Cover,External,Negative,Medium,Rejected,1,COM2310131
THR,2024-03-14,AlBe Publishing,Printing,Body Text,Internal,Negative,High,Accepted,1,THR2403141
FIC,2023-02-11,Beta Books,Typesetting,Body Text,External,Negative,Medium,Accepted,3,FIC2302113
THR,2023-11-04,alpha press,Typesetting,Illustrations,External,Negative,High,Accepted,1,THR2311041
POE,2024-08-21,Delta Inc.,Binding,Back Cover,Internal,Negative,Low,Accepted,1,POE2408211
POE,2024-07-12,Gamma Publishing,Proofreading,Illustrations,Internal,Negative,High,Pending,3,POE2407123
SCI,2024-05-08,Beta books,Printing,Back Cover,Internal,Negative,Low,Accepted,3,SCI2405083
THR,2023-04-14,Beta books,Proofreading,Back Cover,Internal,Negative,Low,Addressed,2,THR2304142
POE,2023-05-07,Alpha Press,Printing,Front Cover,External,Negative,High,Rejected,2,POE2305072
COM,2024-03-23,Alpha Press,Printing,Back Cover,External,Negative,Low,Rejected,3,COM2403233
HIS,2024-10-11,Epsilon Ltd.,Printing,Illustrations,External,Negative,Low,Accepted,2,HIS2410112
POE,2023-07-17,Alpha Press,Proofreading,Body Text,Internal,Negative,Low,Addressed,2,POE2307172
SCI,2023-04-25,AlBe Publishing,Typesetting,Reference Section,External,Negative,Medium,Revised,1,SCI2304251
COM,2024-04-18,Beta books,Proofreading,Body Text,External,Negative,High,Pending,2,COM2404182
BIO,2023-04-17,Gamma Publishing,Binding,Front Cover,External,Negative,Medium,Rejected,2,BIO2304172
FIC,2023-05-01,Thomson Press,Typesetting,Front Cover,External,Negative,Low,Pending,3,FIC2305013
SCI,2024-04-11,Epsilon Ltd.,Proofreading,Index,Internal,Negative,Low,Addressed,2,SCI2404112
HIS,2024-10-31,Alpha Press,Printing,Reference Section,External,Negative,High,Rejected,3,HIS2410313
COM,2024-11-01,Beta Books,Binding,Reference Section,External,Negative,Low,Addressed,2,COM2411012
ROM,2023-03-24,Gamma Publishing,Printing,Front Cover,External,Negative,Low,Pending,3,ROM2303243
POE,2024-11-22,alpha press,Proofreading,Body Text,Internal,Negative,Low,Accepted,2,POE2411222
ROM,2024-06-17,AlBe Publishing,Proofreading,Index,Internal,Negative,Medium,Rejected,1,ROM2406171
SCI,2024-05-17,Epsilon Ltd.,Typesetting,Illustrations,External,Negative,High,Addressed,4,SCI2405174
COM,2024-09-28,Beta Books,Binding,Body Text,External,Negative,High,,2,COM2409282
POE,2024-10-13,Alpha Press,Manuscript,Body Text,Internal,Negative,Medium,,3,POE2410133
POE,2024-09-20,Epsilon Ltd.,Proofreading,Illustrations,External,Negative,Medium,Rejected,2,POE2409202
POE,2023-03-12,Delta Inc.,Binding,Index,Internal,Negative,Low,Rejected,2,POE2303122
THR,2024-11-29,Alpha Press,Binding,Index,Internal,Negative,Medium,Pending,3,THR2411293
COM,2024-04-12,alpha press,Manuscript,Back Cover,Internal,Negative,High,Rejected,3,COM2404123
COM,2024-09-21,alpha press,Typesetting,Body,External,Negative,Medium,Accepted,1,COM2409211
THR,2024-11-12,Epsilon Ltd.,Manuscript,Back Cover,Internal,Negative,Medium,Revised,2,THR2411122
THR,2023-09-17,AlBe Publishing,Typesetting,Illustrations,Internal,Negative,Medium,Addressed,3,THR2309173
BIO,2024-06-30,Thomson Press,Proofreading,Index,External,Negative,High,Addressed,1,BIO2406301
FIC,2024-12-18,Epsilon Ltd.,Manuscript,Illustrations,External,Negative,Low,Revised,1,FIC2412181
POE,2023-11-29,AlBe Publishing,Manuscript,Front Cover,External,Negative,Medium,Pending,2,POE2311292
FIC,2023-09-26,Beta Books,Printing,Index,External,Negative,Low,Rejected,2,FIC2309262
SCI,2024-02-04,Beta Books,Manuscript,Front Cover,Internal,Positive,Low,Accepted,3,SCI2402043
SCI,2023-02-08,Delta Inc.,Binding,Illustrations,Internal,Negative,Medium,Rejected,2,SCI2302082
HIS,2024-03-03,Thomson Press,Binding,Index,External,Negative,High,Rejected,1,HIS2403031
THR,2023-11-17,alpha press,Binding,Front Cover,External,Negative,Medium,Accepted,2,THR2311172
HIS,2024-10-16,Delta Inc.,Proofreading,Body Text,External,Negative,Low,Rejected,2,HIS2410162
POE,2023-03-08,Beta Books,Manuscript,Index,External,Positive,Medium,Rejected,1,POE2303081
BIO,2023-02-13,AlBe Publishing,Binding,Reference Section,External,Negative,Medium,Accepted,1,BIO2302131
POE,2024-01-21,alpha press,Proofreading,Back Cover,Internal,Negative,High,Revised,2,POE2401212
THR,2023-08-12,Epsilon Ltd.,Manuscript,Reference Section,External,Negative,Medium,Rejected,5,THR2308125
THR,2023-05-21,Alpha Press,Manuscript,Illustrations,Internal,Negative,High,Revised,4,THR2305214
THR,2023-07-23,Beta Books,Printing,Reference Section,Internal,Negative,Medium,Revised,1,THR2307231
POE,2024-06-05,Delta Inc.,Typesetting,front cover,Internal,Negative,Medium,Rejected,1,POE2406051
COM,2023-06-27,Delta Inc.,Binding,Reference Section,External,Negative,Low,Revised,4,COM2306274
COM,2024-11-07,Alpha Press,Printing,Reference Section,External,Negative,High,Addressed,1,COM2411071
HIS,2024-04-03,Beta Books,Typesetting,Reference Section,External,Negative,Low,Rejected,3,HIS2404033
THR,2024-01-19,Thomson Press,Printing,Illustrations,Internal,Negative,Low,Accepted,1,THR2401191
HIS,2024-07-19,Beta books,Printing,Reference Section,External,Negative,Medium,Addressed,2,HIS2407192
BIO,2023-09-30,Gamma Publishing,Proofreading,Front Cover,Internal,Negative,Medium,Rejected,2,BIO2309302
THR,2023-06-06,Beta Books,Binding,Front Cover,Internal,Negative,High,Revised,2,THR2306062
POE,2024-03-10,Delta Inc.,Binding,front cover,External,Negative,High,Revised,1,POE2403101
POE,2024-01-05,Gamma Publishing,Manuscript,Reference Section,Internal,Negative,Medium,Pending,2,POE2401052
ROM,2023-04-27,alpha press,Typesetting,Back Cover,Internal,Negative,Medium,Rejected,2,ROM2304272
ROM,2024-06-19,Beta books,Proofreading,Index,External,Negative,Low,Rejected,1,ROM2406191
BIO,2023-03-24,Delta Inc.,Printing,Illustrations,External,Negative,High,Addressed,4,BIO2303244
BIO,2023-11-19,AlBe Publishing,Printing,Index,External,Negative,Low,Addressed,2,BIO2311192
SCI,2024-03-04,Epsilon Ltd.,Typesetting,Body Text,Internal,Negative,High,Rejected,2,SCI2403042
THR,2023-11-02,Beta books,Printing,Index,Internal,Negative,Low,Revised,2,THR2311022
HIS,2023-08-24,AlBe Publishing,Printing,Index,External,Negative,Low,Pending,1,HIS2308241
BIO,2024-05-09,alpha press,Typesetting,Front Cover,Internal,Negative,Medium,Addressed,1,BIO2405091
ROM,2024-10-31,Epsilon Ltd.,Proofreading,Illustrations,Internal,Negative,Medium,Rejected,4,ROM2410314
THR,2023-09-06,Gamma Publishing,Binding,Body Text,External,Negative,High,Accepted,3,THR2309063
BIO,2023-09-20,Beta books,Manuscript,Back Cover,Internal,Negative,Low,Addressed,2,BIO2309202
SCI,2023-11-16,Beta books,Manuscript,Illustrations,Internal,Negative,Medium,Addressed,2,SCI2311162
SCI,2023-08-17,alpha press,Binding,Body Text,Internal,Negative,Low,Revised,1,SCI2308171
FIC,2023-01-09,Epsilon Ltd.,Manuscript,Front Cover,External,Negative,High,Rejected,1,FIC2301091
THR,2023-11-19,AlBe Publishing,Proofreading,Body Text,Internal,Negative,Low,Addressed,3,THR2311193
SCI,2023-08-26,Gamma Publishing,Proofreading,Body Text,Internal,Negative,High,Pending,2,SCI2308262
ROM,2023-08-30,AlBe Publishing,Printing,Illustrations,Internal,Negative,High,Revised,2,ROM2308302
ROM,2024-09-26,Gamma Publishing,Proofreading,Reference Section,External,Negative,High,Accepted,3,ROM2409263
SCI,2024-06-11,Epsilon Ltd.,Typesetting,Illustrations,Internal,Negative,Low,Rejected,1,SCI2406111
BIO,2024-09-03,AlBe Publishing,Typesetting,Body Text,Internal,Negative,Medium,Rejected,2,BIO2409032
COM,2023-11-28,Delta Inc.,Proofreading,Front Cover,Internal,Negative,High,Revised,1,COM2311281
ROM,2023-09-14,alpha press,Binding,Back Cover,External,Negative,Medium,Addressed,1,ROM2309141
POE,2023-10-09,Delta Inc.,Typesetting,Back Cover,Internal,Negative,Low,Pending,3,POE2310093
BIO,2023-06-18,AlBe Publishing,Typesetting,Back Cover,Internal,Negative,Low,Rejected,2,BIO2306182
COM,2023-01-01,Thomson Press,Printing,Reference Section,Internal,Negative,Medium,Rejected,2,COM2301012
POE,2024-08-28,alpha press,Typesetting,Body Text,External,Negative,High,Pending,2,POE2408282
COM,2024-03-24,alpha press,Manuscript,Body Text,Internal,Negative,High,Addressed,2,COM2403242
THR,2023-12-16,Beta Books,Printing,Reference Section,External,Negative,Medium,Pending,3,THR2312163
COM,2024-12-30,Alpha Press,Manuscript,Back Cover,Internal,Negative,High,Accepted,1,COM2412301
FIC,2024-09-13,AlBe Publishing,Proofreading,Body Text,External,Negative,High,Rejected,2,FIC2409132
ROM,2024-12-23,Epsilon Ltd.,Printing,Back Cover,Internal,Negative,High,Addressed,2,ROM2412232
THR,2023-11-11,Beta books,Typesetting,Illustrations,Internal,Negative,High,Addressed,2,THR2311112
THR,2024-12-31,Alpha Press,Manuscript,Body Text,External,Negative,Medium,,1,THR2412311
POE,2024-03-29,Gamma Publishing,Binding,front cover,External,Negative,High,Accepted,1,POE2403291
POE,2024-01-17,Delta Inc.,Printing,Back Cover,Internal,Negative,High,Accepted,2,POE2401172
ROM,2024-06-21,Epsilon Ltd.,Typesetting,Front Cover,External,Negative,High,Pending,2,ROM2406212
FIC,2024-08-02,Beta books,Proofreading,Front Cover,External,Negative,High,Pending,3,FIC2408023
FIC,2024-01-09,AlBe Publishing,Manuscript,Index,External,Negative,Medium,Revised,2,FIC2401092
COM,2023-05-26,alpha press,Binding,Body Text,External,Negative,Medium,Accepted,1,COM2305261
THR,2023-05-27,AlBe Publishing,Printing,Reference Section,Internal,Negative,Low,Rejected,1,THR2305271
POE,2024-02-24,Beta books,Typesetting,Back Cover,Internal,Negative,High,Revised,3,POE2402243
ROM,2023-07-08,Alpha Press,Printing,Body Text,External,Negative,High,Pending,3,ROM2307083
THR,2023-06-24,Thomson Press,Proofreading,Back Cover,External,Negative,Low,Revised,2,THR2306242
POE,2024-09-09,alpha press,Proofreading,Illustrations,External,Negative,High,Pending,1,POE2409091
COM,2023-07-05,Gamma Publishing,Typesetting,Front Cover,External,Negative,High,Rejected,2,COM2307052
ROM,2024-06-09,Beta books,Proofreading,Index,External,Negative,Low,Revised,2,ROM2406092
BIO,2024-12-20,Beta Books,Proofreading,Front Cover,External,Negative,Medium,Accepted,2,BIO2412202
COM,2024-08-11,Beta Books,Manuscript,Front Cover,External,Negative,Medium,Addressed,4,COM2408114
COM,2023-05-15,Gamma Publishing,Printing,Illustrations,External,Negative,Medium,Revised,2,COM2305152
POE,2023-02-27,Delta Inc.,Printing,Back Cover,Internal,Negative,High,Rejected,1,POE2302271
ROM,2024-12-17,alpha press,Proofreading,Body Text,Internal,Negative,Medium,Rejected,1,ROM2412171
FIC,2024-08-10,alpha press,Typesetting,Back Cover,External,Negative,High,Addressed,4,FIC2408104
POE,2023-10-09,Delta Inc.,Manuscript,Reference Section,Internal,Negative,High,,4,POE2310094
THR,2024-11-18,Gamma Publishing,Typesetting,Body Text,Internal,Negative,High,Accepted,4,THR2411184
COM,2023-07-05,Beta books,Manuscript,Reference Section,External,Negative,Medium,Addressed,3,COM2307053
HIS,2024-11-06,Delta Inc.,Printing,Back Cover,Internal,Positive,Medium,Revised,2,HIS2411062
ROM,2024-09-06,Delta Inc.,Binding,Index,Internal,Negative,Medium,Rejected,2,ROM2409062
FIC,2024-06-07,Gamma Publishing,proof reading,Index,Internal,Negative,High,Revised,5,FIC2406075
POE,2024-03-24,AlBe Publishing,Proofreading,Body Text,Internal,Negative,Low,Addressed,3,POE2403243
SCI,2023-03-10,alpha press,Proofreading,Back Cover,External,Negative,High,Rejected,1,SCI2303101
THR,2024-03-09,alpha press,Binding,Reference Section,Internal,Negative,Low,Accepted,1,THR2403091
COM,2024-03-20,Delta Inc.,Proofreading,Front Cover,External,Positive,High,Pending,2,COM2403202
THR,2024-08-09,Beta Books,Binding,Body Text,External,Negative,Medium,Rejected,3,THR2408093
ROM,2023-03-06,Thomson Press,Manuscript,Index,Internal,Negative,High,Revised,3,ROM2303063
COM,2024-11-12,Gamma Publishing,Binding,Back Cover,Internal,Negative,Medium,Rejected,4,COM2411124
BIO,2023-02-19,Beta Books,Binding,Back Cover,External,Negative,Medium,Rejected,2,BIO2302192
SCI,2023-11-26,AlBe Publishing,Printing,Body Text,Internal,Negative,Medium,Rejected,4,SCI2311264
HIS,2024-11-18,Beta Books,Binding,Front Cover,External,Negative,Low,Rejected,5,HIS2411185
ROM,2024-02-01,Delta Inc.,Proofreading,Front Cover,Internal,Negative,High,Accepted,3,ROM2402013
THR,2024-02-29,alpha press,Typesetting,Back Cover,Internal,Negative,Medium,Accepted,1,THR2402291
POE,2023-06-08,alpha press,Manuscript,Front Cover,Internal,Negative,Medium,Addressed,1,POE2306081
THR,2024-06-18,alpha press,proof reading,Back Cover,Internal,Negative,Medium,Pending,1,THR2406181
THR,2023-10-21,Thomson Press,Typesetting,Back Cover,External,Negative,Medium,Pending,1,THR2310211
HIS,2023-02-07,Beta Books,Binding,Front Cover,External,Positive,High,Rejected,3,HIS2302073
BIO,2023-02-18,Beta Books,Proofreading,Front Cover,Internal,Negative,Low,Rejected,3,BIO2302183
COM,2024-08-15,alpha press,Proofreading,Index,Internal,Negative,Medium,Pending,2,COM2408152
HIS,2023-06-08,Gamma Publishing,Typesetting,Body Text,External,Negative,Low,Pending,2,HIS2306082
COM,2023-10-23,Delta Inc.,Binding,Front Cover,Internal,Negative,High,Revised,2,COM2310232
POE,2024-02-18,Delta Inc.,Manuscript,Body Text,External,Negative,High,Pending,1,POE2402181
POE,2024-06-28,Beta Books,Printing,Body,External,Negative,Low,Accepted,3,POE2406283
SCI,2023-09-09,Epsilon Ltd.,Printing,Back Cover,External,Negative,Medium,Revised,2,SCI2309092
FIC,2024-11-09,alpha press,Manuscript,Illustrations,Internal,Negative,Medium,Rejected,4,FIC2411094
SCI,2024-03-20,Epsilon Ltd.,Manuscript,Reference Section,Internal,Negative,High,,3,SCI2403203
BIO,2024-07-24,Beta books,Proofreading,Index,Internal,Negative,Low,Accepted,1,BIO2407241
POE,2023-08-01,Alpha Press,Typesetting,Reference Section,External,Negative,High,Addressed,2,POE2308012
COM,2023-12-03,AlBe Publishing,Printing,Front Cover,Internal,Negative,Medium,Accepted,2,COM2312032
HIS,2023-11-03,AlBe Publishing,Typesetting,Front Cover,Internal,Negative,Medium,Rejected,2,HIS2311032
HIS,2024-03-09,alpha press,Binding,Index,External,Negative,High,Revised,2,HIS2403092
POE,2024-05-14,Beta Books,Manuscript,Illustrations,Internal,Negative,Medium,Accepted,2,POE2405142
BIO,2023-02-22,AlBe Publishing,Printing,Front Cover,External,Negative,Low,Revised,3,BIO2302223
THR,2023-12-24,alpha press,Printing,Back Cover,External,Negative,Medium,Accepted,2,THR2312242
SCI,2023-02-14,Beta Books,Binding,Body Text,External,Negative,High,Pending,3,SCI2302143
SCI,2023-10-11,Thomson Press,Proofreading,Reference Section,External,Negative,High,Pending,2,SCI2310112
SCI,2024-05-24,AlBe Publishing,Printing,Body Text,External,Positive,Low,Revised,2,SCI2405242
THR,2024-10-24,Gamma Publishing,Proofreading,Back Cover,External,Negative,High,Revised,4,THR2410244
COM,2023-05-22,Delta Inc.,Manuscript,Reference Section,Internal,Negative,High,Accepted,1,COM2305221
SCI,2023-01-15,Delta Inc.,Manuscript,Front Cover,External,Negative,Low,Addressed,1,SCI2301151
FIC,2024-04-05,Delta Inc.,Proofreading,Front Cover,Internal,Negative,Low,Accepted,4,FIC2404054
POE,2023-05-25,Delta Inc.,Proofreading,Front Cover,External,Negative,High,Revised,3,POE2305253
FIC,2024-01-28,Alpha Press,Printing,Front Cover,External,Negative,Medium,Addressed,3,FIC2401283
THR,2024-05-26,Gamma Publishing,Printing,Front Cover,Internal,Negative,Low,Addressed,4,THR2405264
BIO,2023-10-07,Beta Books,Printing,Index,External,Negative,Low,Pending,4,BIO2310074
BIO,2023-03-08,alpha press,Binding,Index,External,Negative,Medium,Addressed,2,BIO2303082
FIC,2024-06-02,Thomson Press,Typesetting,Front Cover,Internal,Negative,Medium,Accepted,1,FIC2406021
SCI,2023-05-18,alpha press,Printing,Body Text,External,Negative,Low,Addressed,1,SCI2305181
HIS,2023-05-29,Beta Books,Printing,Back Cover,External,Negative,Medium,Pending,2,HIS2305292
SCI,2024-01-05,Thomson Press,Typesetting,Front Cover,External,Negative,Medium,Addressed,3,SCI2401053
THR,2024-05-08,Gamma Publishing,Manuscript,Index,Internal,Negative,High,Addressed,4,THR2405084
ROM,2023-05-09,AlBe Publishing,Binding,Illustrations,External,Negative,High,Addressed,1,ROM2305091
HIS,2024-09-19,AlBe Publishing,Printing,Illustrations,External,Negative,Low,Rejected,2,HIS2409192
POE,2024-06-14,Delta Inc.,Manuscript,Reference Section,External,Negative,High,Addressed,2,POE2406142
THR,2024-09-07,AlBe Publishing,Proofreading,Index,Internal,Negative,High,Accepted,1,THR2409071
SCI,2024-05-21,Epsilon Ltd.,Manuscript,Illustrations,Internal,Negative,Low,Pending,1,SCI2405211
FIC,2024-03-15,Thomson Press,Manuscript,Index,Internal,Negative,Low,Rejected,2,FIC2403152
THR,2023-12-09,alpha press,Manuscript,Index,External,Negative,High,Revised,1,THR2312091
FIC,2023-11-17,Beta Books,Proofreading,Illustrations,External,Negative,Medium,Accepted,4,FIC2311174
BIO,2023-01-21,Beta books,Manuscript,Front Cover,External,Negative,Low,Rejected,1,BIO2301211
THR,2023-11-21,Gamma Publishing,Proofreading,Index,Internal,Negative,Medium,Rejected,4,THR2311214
ROM,2024-10-02,Thomson Press,Proofreading,Illustrations,Internal,Negative,High,Accepted,3,ROM2410023
SCI,2024-08-21,Alpha Press,Binding,Back Cover,Internal,Negative,Medium,Rejected,2,SCI2408212
COM,2024-09-08,Thomson Press,Manuscript,Front Cover,External,Negative,Low,Rejected,4,COM2409084
COM,2024-12-14,Thomson Press,Printing,Index,External,Negative,Low,Rejected,2,COM2412142
POE,2023-12-21,Delta Inc.,Manuscript,Back Cover,External,Negative,High,Addressed,1,POE2312211
ROM,2024-12-04,Alpha Press,Binding,Front Cover,External,Negative,High,Revised,2,ROM2412042
FIC,2024-10-10,Gamma Publishing,Typesetting,Index,External,Negative,Low,Revised,3,FIC2410103
BIO,2024-01-04,Delta Inc.,Manuscript,Front Cover,Internal,Negative,Low,Accepted,3,BIO2401043
SCI,2023-03-10,Delta Inc.,Binding,Reference Section,External,Negative,Medium,Addressed,3,SCI2303103
FIC,2024-06-18,alpha press,Typesetting,Index,External,Negative,High,Revised,2,FIC2406182
SCI,2024-02-23,Delta Inc.,Typesetting,Illustrations,Internal,Negative,Medium,Accepted,2,SCI2402232
ROM,2023-02-18,Gamma Publishing,Proofreading,Index,Internal,Negative,Low,Revised,4,ROM2302184
